appid,name,description,price,release_date,developer,publisher,tags
1463620,RPG Maker MZ - KR Elemental Dungeon Tileset - Fire Water Earth Wind,"Bring the power of the elements to your RPG Maker MZ game with Elemental Dungeon Tiles, featuring fire, water, earth and wind!",₹ 730,"12 Nov, 2020",Kokoro Reflections,KOMODO,"RPG, Design & Illustration, Web Publishing"
1463660,Visual Novel Maker - Cosmic Frontier Backgrounds,"Build your own universe of planets, stars, and nebulae, and send your game boldly beyond! Also includes a bold musical theme!",₹ 690,"26 Nov, 2020",Joel Steudler,KOMODO,Web Publishing
1463670,Visual Novel Maker - RE-D FINAL BATTLE MUSIC PACK,Prepare to give your boss battles the magic and emotion they need with 10 brand new tracks from the RE-D Final Battle Music Pack!,₹ 690,"26 Nov, 2020",Gee-kun-soft,KOMODO,Web Publishing
1463680,Visual Novel Maker - Living the Dream,The Living the Dream Music Pack offers a great set of chill and expressive tunes to breath life and emotion into your new RPG.,₹ 880,"19 Nov, 2020",ayato sound create,KOMODO,Web Publishing
1463730,Arid,"Discover the mysteries of the Atacama, explore the abandoned mining networks, evade the scorching sun and survive the environment in one of the most arid place in the world. Arid is a FREE survival game made by students from Breda University.",N/A,"29 Jun, 2021",Sad Viscacha Studio,Breda University of Applied Sciences,"Action, Adventure, Simulation"
1463740,HTML 2 APK Compiler,"Html2Apk Compiler is software to compile website/html/games/progressive web app into beautiful android apps with a single click. No Coding Required And monetize it with admob, brand it with custom splash screen and engage users with push notifications.","₹ 2,000","8 May, 2023",GameDev_ToolMaker,GameDev_ToolMaker,"Action, Adventure, Casual, Indie, Education, Software Training, Utilities, Web Publishing, Game Development"
1463760,The Beardless Wizard,"An evil scientist has kidnapped a kind, old wizard! As the magician's young apprentice, you might not have a beard, but don't let that stop you from saving his wrinkled skin! The journey will be fraught with obstacles but also filled with laughs.",₹ 400,"26 Nov, 2020",Alawar North,Alawar Entertainment,"Casual, Indie, Simulation, Strategy"
1463770,Disjunction Soundtrack,"Listen to over an hour and a half of the immersively atmospheric Original Score, as heard in Ape Tribe Games debut game: Disjunction. Written and performed by the fantastically multi-talented artist: Dan Farley.",₹ 165,"28 Jan, 2021",Ape Tribe Games,Fireshine Games,
1463780,Mohism: Battle of Words,"Mohism: Battle of Words is a detective game set in the world of wuxia. The game follows Zhang Xiaochen, investigates unsolved cases and comes into his own as a hero. He must rely on his wits and razor-sharp tongue to best his opponents, find the culprit and ensure justice prevails!",₹ 480,"17 Apr, 2023",玄镜工作室,Yooreka Studio,"Adventure, Indie"
1463810,The Tower Of TigerQiuQiu Insect Invade,"AboutYou've discovered a new livable planet, and before you can immigrate, you have to clean up the giant insects on the planet;FeatureThe DLC include full 10 missions",₹ 155,"2 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1463830,Vostok 2061,"Vostok 2061 is a modern-graphics vertical scroll shooter. Gorgeous alien worlds, spaceships, and bosses. Explore mysteries as you listen to a great soundtrack!",₹ 349,"6 Oct, 2022",DYV's Game,DYV's Game,"Action, Indie"
1463840,Warp Out,"A VR exclusive shoot 'em up, Warp Out projects you in four different worlds full of enemies to destroy. Only your skill can bring you to the top of the leaderboards!",₹ 349,"28 Jan, 2021",ID61,ID61,"Action, Indie"
1463870,Jumping Knight,Jumping Knight is a platformer game with an atmospheric-dark world and a lot of challenging levels.,₹ 480,"17 Dec, 2020",Egutidze,My Way Games,"Action, Adventure, Casual, Indie"
1463880,Black Blade,This is not a good game. Please do not buy it. The developer is crowdfunding for a remake.,₹ 219,"26 Nov, 2020",Red Rider,Red Rider,"Action, Adventure, Indie, RPG"
1463890,Slay the Dragon!,"Maj must traverse a fantastical landscape and overcoming mighty foes, in order to rescue her younger brother from the clutches of an evil dragon. &quot;Slay the Dragon!&quot; is an isometric hack and slash game inspired by old school adventure games and the Swedish countryside.",N/A,"5 Feb, 2021",Slay the Dragon!-Team,The Animation Workshop,"Action, Casual, Indie"
1463900,Pretty Girls and Dark Witch. A simple story,Five brave sorceresses go to the Witch's castle to rescue the Princess. But the monsters in the castle will do everything to stop them!,₹ 52,"25 Dec, 2020",Salangan Games,Conglomerate 5,"Casual, Indie"
1463920,hexceed,"A relaxing, hexagon based, puzzle game. An exciting new twist on a classic game without the element of guesswork! Use your critical thinking and our stimulating game mechanics to progress through hundreds of levels!",N/A,"15 Jan, 2021",ToastieLabs,ToastieLabs,"Casual, Indie, Free To Play"
1463930,Fly Away Baseball,"An exciting throwback to old school baseball games, Fly Away Baseball brings a fun and a quick pace gameplay to baseball.",₹ 349,"7 Dec, 2020",big G games,big G games,"Indie, Sports, Early Access"
1463960,PSweet,"Date productivity applications in a retro, hand-drawn dating simulator set in a fictional operating system that definitely doesn't have a horrible secret.",₹ 299,"23 Mar, 2021",Future Proof,Future Proof,"Indie, RPG, Simulation"
1463970,The Dark Way,"The Dark Way is a single-player, action-adventure horror game. After He Lost in mysterious village you need to keep alive before Red Night!",₹ 155,"30 May, 2024",Abdualziz alotaibi,Abdualziz alotaibi,"Action, Adventure, Indie"
1463980,Proven: A Math RPG,Proven: A Math RPG is a retro-style role-playing game (RPG) that teaches math while never forgetting that it is a game!,₹ 199,"3 Dec, 2020",Sean Robbins,SB Media Productions LLC,"Casual, Indie, RPG"
1463990,Murder House Soundtrack,The most terrifying soundtrack of 2020!,N/A,Coming soon,MXXN,Puppet Combo Audio,
1464000,Ascent,One mountain; Zero checkpoints,₹ 199,"20 Nov, 2020",Tim Kashani,Fireapples,Strategy
1464010,YOLKED - The Egg Game,YOLKED: Follow the EGG-scruciating escape of an egg with arms!,₹ 399,"5 Apr, 2023",HardBoiled Studios,Hitcents,"Action, Adventure, Simulation"
1464050,Dual Guns Fantasy,"&quot;Dual Guns Fanstasy&quot; is a simple and short shooting game with a arcade game style, it has a time-crisis style weapon system, the special effect of the body being hit by a bullet, and enemies from the fantasy world.",₹ 85,"21 Nov, 2020",hlink,Kijin Taisha,"Action, Indie"
1464060,​Our Life: Beginnings & Always - Step 1 Expansion,Enjoy the summer of childhood even more by doubling the amount of Moments available in Step 1!,₹ 165,"16 Nov, 2020",GB Patch Games,,"Casual, Indie"
1464061,​Our Life: Beginnings & Always - Step 2 Expansion,Make even more memories during your summer of adolescence by doubling the amount of Moments available in Step 2!,₹ 165,"16 Nov, 2020",GB Patch Games,,"Casual, Indie"
1464062,​Our Life: Beginnings & Always - Step 3 Expansion,Spend even more time in the summer of young adulthood by doubling the amount of Moments available in Step 3!,₹ 165,"16 Apr, 2021",GB Patch Games,,"Casual, Indie"
1464063,​Our Life: Beginnings & Always - Voiced Name Expansion,Download a collection of preset names for the protagonist that come with voice acting!,N/A,"30 Nov, 2020",GB Patch Games,,"Casual, Free To Play, Indie"
1464070,Let It Go - Original Soundtrack,A lyrical odyssey to remind you how to realize your dreams.,₹ 199,"12 Nov, 2020",Philozofia Studio,Philozofia Studio,
1464090,Devastation 2 - Repatriation,"Kill enemies, earn a multiplier, build score, unlock weapons, upgrade content, achievements. Battle in a revolutionized futuristic environment with 12 dynamic levels, fight bosses and waves of enemies. Equip 11 weapon types, 6 missiles types, customize classes, repair damage and unlock skins",₹ 200,"13 Jan, 2021",Myke Wills,Enfenyx Games,"Action, Indie"
1464100,Unlife,"Survive in a dark world destroyed by a nuclear war, where instead of land only the Black Ocean and its dangerous inhabitants. Navigate a submarine between ocean platforms, search for supplies, and rescue survivors. Try to find a ghostly way to escape from these nightmares!",₹ 399,"7 Jun, 2022",diedemor studio,diedemor studio,"Action, Adventure, Indie"
1464120,600Seconds ~The Deep Church~,"Awakening before a church stood in the middle of a meadow, Mutsuki follows a white cat inside and begins to explore. Their wristwatch reads 23:50, on the 15th of July 1927. After 600 seconds have passed, Mutsuki must defeat the monsters that appear and escape from this nightmare.",₹ 876,"22 Dec, 2020",StudioGekko,StudioGekko,"Action, Casual, Indie"
1464130,Archons of Doom,Play as an Archon of Doom to conquer the entire universe in this fantasy horror strategy game.,₹ 399,"30 Nov, 2021",Third Impression,Third Impression,Strategy
1464140,The Tower Of TigerQiuQiu Moth Snake,"About As a small moth, you need to get more food to increase your partner. Fly carefully towards food and don't bump into anything Feature The DLC include full 10 missions",₹ 155,"2 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1464150,Hero Lilith,&quot;Hero Lilith&quot; is an open world fantasy action role-playing game.Freely choose weapons.Paper doll system.Randomly generated dungeons.Easy and humorous plot.,₹ 459,"20 Oct, 2021",勇者宅配公司,勇者宅配公司,"Action, Adventure, Indie, RPG, Early Access"
1464170,Touhou Eternal Spell Cards,"In Eastern Eternal Spell Cards,The balance between humans and yokai is at stake as the evil yokai, Black Shadow, awakens to conquer the Eastern world. Through intense bullet-hell battles, she faces challenging stages and enemies to become the savior. DISCORD：https://discord.gg/pQe2bgqEzC",₹ 250,"8 Apr, 2024",东方玄域,东方神域,"Action, Adventure, Casual, Indie, RPG, Simulation"
1464200,Divine Stone,"Divine Stone is a 2D platformer puzzle game in which you have to find answers to riddles that will definitely make you brainwash. In addition, time constraints and a variety of opponents will become an obstacle on your way.",₹ 42,"18 Nov, 2020",Piece Of Voxel,Piece Of Voxel,"Action, Indie, Strategy"
1464220,Netherguild,"Netherguild is a turn-based tactical roguelite dungeon-crawler, where you command expeditions below the earth in a desperate attempt to cure a strange plague. Explore, camp, and fight as far as you can before heading back to resupply. What will you discover underground?",₹ 349,"27 Mar, 2023",David Vinokurov,David Vinokurov,"Indie, RPG, Strategy, Early Access"
1464230,Drilly Willis Original Soundtrack,"The original soundtrack for the video game DRILLY WILLIS, a Metroidvania starring a character with a drill for a head and powers unleashed by playing songs on their guitar. Written and performed by the solo developer and owner of Private Pook Games, Mike Grosso.",₹ 125,"9 Nov, 2020",Private Pook Games,Private Pook Games,
1464250,PixKeeper,"You play as ordinary guys, just like you! Awaken your strategic thinking, mentor, hero, and defender! Upgrade your heroes, learn, set goals, explore secret blueprints, defeat the Lord, protect the kingdom!",N/A,Coming soon,Sheygas Stepan,Broken Pixel,"Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy"
1464290,Splash Cars,"Paint the world to be a better place with your car, one neighborhood at a time. In an isometric 3D-free driving experience.",₹ 199,"15 Nov, 2021",Paper Bunker s.r.o.,Paper Bunker s.r.o.,"Action, Casual, Indie, Racing"
1464310,STONE BLOCKS: Levels Pack 1 Greece,New 30 levels.,N/A,"2 Dec, 2020",PlayToday Team,PlayToday Team,"Adventure, Casual, Indie, Free To Play"
1464311,STONE BLOCKS: Levels Pack 2 Persia,New 30 levels.,N/A,"13 Jan, 2021",PlayToday Team,PlayToday Team,"Casual, Indie, Free To Play"
1464312,STONE BLOCKS: Levels Pack 3 Rome,New 30 levels.,N/A,"26 Mar, 2021",PlayToday Team,PlayToday Team,"Casual, Indie, Free To Play"
1464320,Callparin 2,Callparin 2 offers a varied open world. All shops can be entered and the island fully explored. You can buy almost anything here with money. It is up to the player how the money is made. The goal is to do what you feel like doing.,₹ 880,"3 Aug, 2021",Marco Games,Hoi 4 Deu,"Action, Adventure, Indie, Racing, Simulation"
1464330,I am Your Lawyer,"I Am Your Lawyer is a game where you play the role of a lawyer. Your task is to represent your clients in court. You have to defend innocent, harmless people and shady guys (murderers, thieves, crooks). See you in court!",N/A,To be announced,Hyper Studio,Hyper Studio,"Adventure, Casual, Indie, Simulation"
1464350,Fear in The Modern House - CH2,"A psychological horror game, based on horror movie stories, in which you live Josh's life, dubbed and subtitled.",₹ 165,"22 Nov, 2020",Samuka Gomes,Samuka Gomes,"Action, Adventure, Casual, Indie"
1464370,Lazy gang,The main characters will have to reluctantly unite in a mercenary squad and go on an adventure to distant islands.,N/A,Coming soon,Take Toad,Take Toad,"Action, Adventure"
1464380,Eclipse,"Once upon a time gods sent you here. You’ve slept in a glass sarcophagus for hundrends of years. When people find themselves on the brink of extinction, you’ll have to wake up. Now, the time has come. Get up and save the medieval village from the monsters coming from the abandoned dungeons!",₹ 300,"7 Oct, 2021",MadRock,MadRock,"Adventure, Indie, RPG"
1464390,Moonlit,"In this retro arcade style game, you take your character through the various scenarios, with beautifully explored themes, while having to deal with the werewolf curse. Will you be able to handle it?",₹ 165,"17 Dec, 2020",Eduardo Machado,Eduardo Machado,"Action, Adventure, Indie"
1464400,Mead Crafter,What will your legacy be? Work hard to please royalty and guarantee a bright future for yourself and your family. Mead Crafter is a lively casual game that serves match-three fun with a twist!,N/A,"25 Nov, 2020",Viroid Games Inc.,Viroid Games Inc.,"Casual, Strategy"
1464410,末日杀 Might & Trap: Apocalypse,"Fantastic 3D defense game with lots of strategic decisions. A mutating, alien menace is ruining the world. Use spells and traps wisely to repel the undead hordes and save the survivors. You must carefully manage your crew and resources as you try to uncover the terrible secrets of the undead.",₹ 529,"4 Jun, 2021",Hoofun Game Studio,Hoofun Game Studio,"Indie, Strategy"
1464420,Tower,Tower is a top-down action game with adventure and puzzle elements. Fight out of a skyscraper full of terrorists. Find out what one motivated person can do against hundreds of thugs.,₹ 85,"16 Oct, 2022",JooGray videogames,JooGray videogames,"Action, Adventure"
1464460,Qip,Qip is game save data version control and backup software which makes your save data backup and switch easier.,₹ 349,"3 Dec, 2020",Evade Game,Evade Game,Utilities
1464470,The Tower Of TigerQiuQiu Insect Invade 2,"AboutYou find illegally farmed space insects on this planet. Because there are too many insects, you ask the base to send you more support warships. Clean up the planet with them.FeatureThe DLC include full 10 mission",₹ 155,"2 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1464480,VR Hentai Cat,Would you like to enjoy erotic plays with adorable catgirls in VR?,₹ 329,"19 Nov, 2020",VISON STUDIOS,VISON STUDIOS,Simulation
1464500,Ruvato: Original Complex,"Ruvato: Original Complex is a fast-paced hack and slash game. Ria, the protagonist of this game, gains attack power and becomes stronger each time she defeats her enemy. Play, get skilled, and chain-kill multiple enemies with ease using Ria’s unique ability.",₹ 690,"19 Nov, 2020",REMIMORY,REMIMORY,"Action, Casual, Indie"
1464510,Hidden Memory Nature - Wallpapers,"Incredible arts specially designed to convey the relaxing atmosphere of the game, leaving your computer's desktop with a unique look!",₹ 52,"18 Nov, 2020",YAW Studios,YAW Studios,"Casual, Indie"
1464520,Blewie,BLEWIE was created and programmed by a 1 man team out of a sheer love of puzzle and platform games. Help BLEWIE escape the FUN-HOUSE by bringing the BLUE STONE to the BLUE PLATFORM.,₹ 105,"9 Dec, 2020",Freegashtantae Games,Freegashtantae Games,"Action, Casual"
1464540,Anime Collector: Evo,"Anime Collector: EVO is a adult open-world MMORPG. Earn your status, worth and reputation through finding rare art,items and resources. Do this by completing quests, defeating monsters, finding hidden secrets and playing various mini games.",N/A,Coming soon,Squids Around,Squids Around,"Action, Adventure, Indie, Massively Multiplayer, Free To Play, Early Access"
1464550,RagingBlasters,Raging Blasters is a vertical scroll shmup featuring high speed scrolling and the exhilaration of destruction.,₹ 459,"22 Jan, 2021",TERARIN GAMES,TERARIN GAMES,"Action, Casual, Indie"
1464580,Geometric Sniper - Wallpapers,"Incredible arts specially designed to convey the atmosphere of the game, leaving your computer's desktop with a unique look!",₹ 41,"17 Dec, 2020",YAW Studios,YAW Studios,"Action, Casual, Indie"
1464610,Dark Side of War,Dark Side of War is a hardcore shooter game where players take on the role of a soldier during World War II and clear out enemy bases using every bullet wisely. The game offers diverse levels with unique designs and atmospheric soundtracks to create a realistic war atmosphere.,₹ 480,"4 Dec, 2020",Tactical Mayhem Realms,Tactical Mayhem Realms,"Action, Adventure, Casual, Indie, Simulation"
1464620,Oona the Druid's Path,"Join the young druid Oona in an adventure to complete her first task to become a full druid. Travel through thick forests and swamps, face the creatures inhabiting them, reach the Cloud Kingdom and fight against the evil Meiga in this beautiful 2.5D platformer game.",N/A,"26 Feb, 2021",Astro Pup Games,ESAT,"Action, Adventure, Indie, Early Access"
1464630,Gravity in Space,"Gravity in Space is an acurate-physics-based spacecraft flight and combat simulation. Learn how to use gravitational forces to navigate through surreal worlds, while you outplay your enemies and shoot them.",₹ 439,"27 Jan, 2021",Cross and Dot Products,Cross and Dot Products,"Action, Indie, Simulation, Early Access"
1464640,Fantasy Grounds - FG Theme - Wizard's Desk,FG Theme - Wizard's DeskThe Wizard's Desk Theme re-skins and changes the look and feel of the user interface of Fantasy Grounds into a more classic fantasy environment. The book and magic circle are represented in the theme as decals controled in the options window.,₹ 349,"6 Jan, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1464650,Planet Cracker,"Planet Cracker is a 2D shooting game features physics engine and 3D environment. You must protect a space station from space debris trying to surpass the line of defence. Destroy all debris, and accomplish the most important mission: SURVIVE!",N/A,"24 Jan, 2021",Nemoto Keisuke,Nemoto Keisuke,"Casual, Indie"
1464700,White Wall,"A sci-fi first-person RPG based on the global collapse of the human race. Play as Aaron, the young adult searching for answers in the barren wastes of the American west coast along with his AI companion MAX. Fight, shoot, loot your way through this total open-world RPG.",N/A,Coming soon,Fiend Studios,Fiend Studios,"Action, Adventure, Indie, RPG, Early Access"
1464710,Fantasy Grounds - Pathfinder 2 RPG - Society Scenario #1-08: Revolution on the Riverside,Pathfinder 2 RPG - Society Scenario #1-08: Revolution on the RiversideA Pathfinder Society Scenario designed for levels 1-4 (subtiers 1-2 and 3-4).Venture-Captain Bjersig Torrsen has set out the call for a group of Pathfinders to compete in a race known as the Balgirdtrek.,₹ 199,"10 Nov, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1464730,Metal Commando,Get your weapons ready for the ultimate action game! Metal Commando combines the adrenaline of platform-style games with the action of 2d shooters. What are you waiting for? Start Metal Commando now and let the shooting begin,₹ 105,"18 Nov, 2020",indiegames3000,indiegames3000,Indie
1464740,Moving Out - Movers in Paradise,"Welcome to Movers in Paradise, the latest expansion for Moving Out. Move and groove across 24 new tropical and arcade levels to unravel the mystery of the fabled “greatest haul of them all!”",₹ 280,"25 Feb, 2021",SMG Studio,Team17 Digital Ltd,"Action, Casual, Indie, Simulation"
1464840,Monolith,"A sci-fi Virtual Reality game focused on high-intensity combat. Experience mythical weapons such as Thor's hammer Mjolnir, Zeus's shield Aegis, and more as you defend against enemies in this action-packed exciting game!",₹ 199,"27 Nov, 2020",202-N Studios,202-N Studios,"Action, Indie"
1464850,CloseCall,An explosive racing fantasy.,₹ 259,"21 Dec, 2020",Reactive Entertainment,Reactive Entertainment,"Action, Racing, Early Access"
1464890,ABYSS OF THE SACRIFICE Soundtrack,The Official Soundtrack of &quot;密室のサクリファイス／ABYSS OF THE SACRIFICE&quot;.,₹ 199,"16 Dec, 2020",INTENSE,D3PUBLISHER,
1464910,Quest: Escape Room 2,"After escaping the mysterious laboratory, our hero still wants to find the truth about its origin. He finds the tracks, what leads to the center of some terrorist organization.",₹ 26,"15 Dec, 2020",KuKo,KuKo,Adventure
1464930,Seek Girl Ⅶ,This is a casual Sokoban game. The player needs to use the keyboard to control the male character through the level to find the female character.,₹ 52,"11 Dec, 2020",DSGame,DSGame,"Casual, Indie"
1464940,FarmClicky,"This is a game that can be operated and played with just a click, with the goal of earning more money, ensuring that the &quot;weekly&quot; rent in the game can be paid normally, and driving away occasional monsters!",N/A,Coming soon,WonkmyGame,WonkmyGame,"Casual, Indie, Simulation, Strategy"
1464950,The Tower Of TigerQiuQiu Falling Stone,"AboutThe alien creatures that hunt you down have finally caught your trap and hit them hard with the rocks you've prepared. Be careful not to fall into the trap yourself, it's hopeless.FeatureThe DLC include full 10 missions",₹ 155,"2 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1464980,"UNREAL LIFE Original Soundtrack ""Sound of the Mind""",UNREAL LIFE Original Soundtrack,₹ 439,"22 Dec, 2020",hako life,yokaze,
1465010,END OF THE WORLD - NTR,"Your purpose is to make her fall into your sex desires. You need input direction to move to get some objects and props, avoid the bite of the zombie, play the mini game to get the point. Use your stick to open her legs at last!",₹ 85,"23 Nov, 2020",M3K4 Studio,M3K4 Studio,"Casual, Indie, RPG"
